Movie Title,Date,Genre,Rating
The Godfather,(1972),"
Crime, Drama            ",9.2
The Shawshank Redemption,(1994),"
Drama            ",9.3
Schindler's List,(1993),"
Biography, Drama, History            ",9
Raging Bull,(1980),"
Biography, Drama, Sport            ",8.2
Casablanca,(1942),"
Drama, Romance, War            ",8.5
Citizen Kane,(1941),"
Drama, Mystery            ",8.3
Gone with the Wind,(1939),"
Drama, Romance, War            ",8.2
The Wizard of Oz,(1939),"
Adventure, Family, Fantasy            ",8.1
One Flew Over the Cuckoo's Nest,(1975),"
Drama            ",8.7
Lawrence of Arabia,(1962),"
Adventure, Biography, Drama            ",8.3
Vertigo,(1958),"
Mystery, Romance, Thriller            ",8.3
Psycho,(1960),"
Horror, Mystery, Thriller            ",8.5
The Godfather Part II,(1974),"
Crime, Drama            ",9
On the Waterfront,(1954),"
Crime, Drama, Thriller            ",8.1
Sunset Blvd.,(1950),"
Drama, Film-Noir            ",8.4
Forrest Gump,(1994),"
Drama, Romance            ",8.8
The Sound of Music,(1965),"
Biography, Drama, Family            ",8.1
12 Angry Men,(1957),"
Crime, Drama            ",9
West Side Story,(1961),"
Crime, Drama, Musical            ",7.6
Star Wars,(1977),"
Action, Adventure, Fantasy            ",8.6
2001: A Space Odyssey,(1968),"
Adventure, Sci-Fi            ",8.3
E.T.,(1982),"
Adventure, Family, Sci-Fi            ",7.9
The Silence of the Lambs,(1991),"
Crime, Drama, Thriller            ",8.6
Chinatown,(1974),"
Drama, Mystery, Thriller            ",8.2
The Bridge on the River Kwai,(1957),"
Adventure, Drama, War            ",8.2
Singin' in the Rain,(1952),"
Comedy, Musical, Romance            ",8.3
It's a Wonderful Life,(1946),"
Drama, Family, Fantasy            ",8.6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),"
Comedy, War            ",8.4
Some Like It Hot,(1959),"
Comedy, Music, Romance            ",8.2
Ben-Hur,(1959),"
Adventure, Drama            ",8.1
Apocalypse Now,(1979),"
Drama, Mystery, War            ",8.5
Amadeus,(1984),"
Biography, Drama, Music            ",8.4
The Lord of the Rings: The Return of the King,(2003),"
Action, Adventure, Drama            ",9
Gladiator,(2000),"
Action, Adventure, Drama            ",8.5
Titanic,(1997),"
Drama, Romance            ",7.9
From Here to Eternity,(1953),"
Drama, Romance, War            ",7.6
Saving Private Ryan,(1998),"
Drama, War            ",8.6
Unforgiven,(1992),"
Drama, Western            ",8.2
Raiders of the Lost Ark,(1981),"
Action, Adventure            ",8.4
Rocky,(1976),"
Drama, Sport            ",8.1
A Streetcar Named Desire,(1951),"
Drama            ",7.9
The Philadelphia Story,(1940),"
Comedy, Romance            ",7.9
To Kill a Mockingbird,(1962),"
Crime, Drama            ",8.3
An American in Paris,(1951),"
Drama, Musical, Romance            ",7.2
The Best Years of Our Lives,(1946),"
Drama, Romance, War            ",8.1
My Fair Lady,(1964),"
Drama, Family, Musical            ",7.8
A Clockwork Orange,(1971),"
Crime, Sci-Fi            ",8.3
Doctor Zhivago,(1965),"
Drama, Romance, War            ",7.9
The Searchers,(1956),"
Adventure, Drama, Western            ",7.9
Jaws,(1975),"
Adventure, Thriller            ",8.1
Patton,(1970),"
Biography, Drama, War            ",7.9
Butch Cassidy and the Sundance Kid,(1969),"
Biography, Crime, Drama            ",8
The Treasure of the Sierra Madre,(1948),"
Adventure, Drama, Western            ",8.2
"The Good, the Bad and the Ugly",(1966),"
Adventure, Western            ",8.8
The Apartment,(1960),"
Comedy, Drama, Romance            ",8.3
Platoon,(1986),"
Drama, War            ",8.1
High Noon,(1952),"
Drama, Thriller, Western            ",8
Braveheart,(1995),"
Biography, Drama, History            ",8.4
Dances with Wolves,(1990),"
Adventure, Drama, Western            ",8
Jurassic Park,(1993),"
Action, Adventure, Sci-Fi            ",8.2
The Exorcist,(1973),"
Horror            ",8.1
The Pianist,(2002),"
Biography, Drama, Music            ",8.5
Goodfellas,(1990),"
Biography, Crime, Drama            ",8.7
The Deer Hunter,(1978),"
Drama, War            ",8.1
All Quiet on the Western Front,(1930),"
Drama, War            ",8.1
Bonnie and Clyde,(1967),"
Action, Biography, Crime            ",7.7
The French Connection,(1971),"
Action, Crime, Drama            ",7.7
City Lights,(1931),"
Comedy, Drama, Romance            ",8.5
It Happened One Night,(1934),"
Comedy, Romance            ",8.1
A Place in the Sun,(1951),"
Drama, Romance            ",7.7
Midnight Cowboy,(1969),"
Drama            ",7.8
Mr. Smith Goes to Washington,(1939),"
Comedy, Drama            ",8.1
Rain Man,(1988),"
Drama            ",8
Annie Hall,(1977),"
Comedy, Romance            ",8
Fargo,(1996),"
Crime, Thriller            ",8.1
Giant,(1956),"
Drama, Western            ",7.6
Shane,(1953),"
Drama, Western            ",7.6
The Grapes of Wrath,(1940),"
Drama            ",8.1
The Green Mile,(1999),"
Crime, Drama, Fantasy            ",8.6
Close Encounters of the Third Kind,(1977),"
Drama, Sci-Fi            ",7.6
Nashville,(1975),"
Comedy, Drama, Music            ",7.6
Network,(1976),"
Drama            ",8.1
The Graduate,(1967),"
Comedy, Drama, Romance            ",8
American Graffiti,(1973),"
Comedy, Drama            ",7.4
Pulp Fiction,(1994),"
Crime, Drama            ",8.9
Terms of Endearment,(1983),"
Comedy, Drama            ",7.4
Good Will Hunting,(1997),"
Drama, Romance            ",8.3
The African Queen,(1951),"
Adventure, Drama, Romance            ",7.7
Stagecoach,(1939),"
Adventure, Drama, Western            ",7.8
Mutiny on the Bounty,(1935),"
Adventure, Biography, Drama            ",7.6
The Great Dictator,(1940),"
Comedy, Drama, War            ",8.4
Double Indemnity,(1944),"
Crime, Drama, Film-Noir            ",8.3
