Name,Temperature,Descriptions
Tonight,18,"Mostly clear, with a low around 18. West wind 3 to 8 mph."
Thursday,50,"Mostly sunny, with a high near 50. West wind around 6 mph."
Thursday Night,36,"A chance of rain after 2am. Mostly cloudy, with a low around 36. South wind around 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
Friday,51,"A chance of rain before 8am, then rain showers. Cloudy, with a high near 51. South wind 7 to 14 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Friday Night,30,"Rain showers before 2am. Mostly cloudy, with a low around 30. Southwest wind around 14 mph. Chance of precipitation is 80%."
Saturday,41,"A slight chance of rain showers after 2pm. Partly sunny, with a high near 41. Chance of precipitation is 20%."
Saturday Night,21,"A slight chance of rain showers before 8pm. Mostly cloudy, with a low around 21."
Sunday,33,"A slight chance of snow showers between 8am and 2pm. Partly sunny, with a high near 33."
Sunday Night,21,"Partly cloudy, with a low around 21."
Monday,46,"Sunny, with a high near 46."
Monday Night,24,"Partly cloudy, with a low around 24."
Tuesday,49,"Mostly sunny, with a high near 49."
Tuesday Night,27,"Partly cloudy, with a low around 27."
Wednesday,49,"A slight chance of snow showers between 8am and 2pm, then a slight chance of rain showers. Mostly sunny, with a high near 49."
